tempo_ms,ax,ay,az,gx,gy,gz,pitch,roll,yaw,magnitude
4653.0,0.042,0.0049,0.9236,0,0,0,0.000565816402008046,-0.004849869747322592,0.0,0.9245674502165864
4665.0,0.0427,0.0045,0.9188,0,0,0,0.00159102014615783,-0.014117722786473698,0.0,0.919802685362464
4677.0,0.0411,0.0024,0.9208,0,0,0,0.002779175874482053,-0.027131409257657814,0.0,0.9217199194983257
4689.0,0.0414,0.0035,0.928,0,0,0,0.004239162320226579,-0.0434898136124216,0.0,0.9289296044372792
4701.0,0.0438,0.0046,0.9365,0,0,0,0.006066966265285493,-0.06306324243145356,0.0,0.9375349860138554
4713.0,0.0437,0.004,0.9263,0,0,0,0.008149278502860548,-0.08546916349052228,0.0,0.9273388701008926
4725.0,0.043,0.0052,0.9221,0,0,0,0.010598224300220737,-0.11028136485836455,0.0,0.9231167044312436
4737.0,0.0463,0.0067,0.924,0,0,0,0.013547604323971368,-0.13757704890744143,0.0,0.9251835385478927
4749.0,0.0453,0.0028,0.9224,0,0,0,0.0164683577661466,-0.16691342666730025,0.0,0.923515939223574
4761.0,0.0447,0.0032,0.9261,0,0,0,0.01940511926674566,-0.19792142522732092,0.0,0.9271836603392016
4773.0,0.047,0.0033,0.9303,0,0,0,0.02236104963203701,-0.23061420608201053,0.0,0.931492340279833
4785.0,0.0422,0.0022,0.9242,0,0,0,0.02519741272926774,-0.26418050376236085,0.0,0.9251655635614633
4797.0,0.0442,0.0034,0.9248,0,0,0,0.028067661715873486,-0.2986967437303878,0.0,0.9258618903486632
4809.0,0.0431,0.0015,0.9277,0,0,0,0.03073055271104099,-0.3338418469014429,0.0,0.9287018628171261
4821.0,0.0414,0.0056,0.9297,0,0,0,0.03370286527842976,-0.36925959630433003,0.0,0.9306381735132081
4833.0,0.0437,0.0048,0.929,0,0,0,0.03684579890944351,-0.40513237273061486,0.0,0.9300396389401906
4845.0,0.0449,0.0043,0.9258,0,0,0,0.04007379782266753,-0.44149864433068886,0.0,0.926898128167276
4857.0,0.0432,0.0033,0.9277,0,0,0,0.04324782608807815,-0.4780138779573901,0.0,0.9287111606952939
4869.0,0.0442,0.0029,0.9276,0,0,0,0.046319051080645886,-0.514711823836658,0.0,0.9286569926512156
4881.0,0.0425,0.0066,0.9305,0,0,0,0.04974479727985036,-0.5512768074817741,0.0,0.9314934567671422
4893.0,0.0449,0.0034,0.9248,0,0,0,0.0530877733473628,-0.587974571342997,0.0,0.9258955718654237
4905.0,0.042,0.0044,0.9224,0,0,0,0.05647482115851472,-0.6243749337169074,0.0,0.9233661895477872
4917.0,0.0437,0.0031,0.9257,0,0,0,0.05973303023661666,-0.6606324720161179,0.0,0.9267360951209357
4929.0,0.0443,0.0,0.9277,0,0,0,0.062489403444382065,-0.6967554074036331,0.0,0.9287571157197128
4941.0,0.0425,0.0042,0.9274,0,0,0,0.06531338658961022,-0.7324685822947387,0.0,0.9283828143605417
4953.0,0.0437,0.0043,0.9254,0,0,0,0.06820462952883599,-0.7679072979546553,0.0,0.9264412231760847
4965.0,0.043,0.004,0.925,0,0,0,0.0711128488035165,-0.8029497073520261,0.0,0.9260075593643932
4977.0,0.0438,0.005,0.9263,0,0,0,0.07415276030134808,-0.8376641296848808,0.0,0.9273484404472787
4989.0,0.0468,0.0037,0.9269,0,0,0,0.07714247591405106,-0.872385808270453,0.0,0.9280881100412827
5001.0,0.043,0.0046,0.9285,0,0,0,0.08019207400547287,-0.9065684558395799,0.0,0.9295065411281407
5013.0,0.0426,0.0061,0.924,0,0,0,0.08347550539736431,-0.9401831561330406,0.0,0.9250016054040123
5025.0,0.0422,0.0045,0.9253,0,0,0,0.08676099894986833,-0.9731733175156536,0.0,0.9262727352135547
5037.0,0.0428,0.0038,0.9227,0,0,0,0.08995684093496811,-1.0056351166243973,0.0,0.9236999350438431
5049.0,0.0413,0.0007,0.9253,0,0,0,0.09268339797950415,-1.0373666860622166,0.0,0.9262215015858788
5061.0,0.0448,0.001,0.9187,0,0,0,0.09503031052920392,-1.0688592907950307,0.0,0.9197922211021357
5073.0,0.0415,0.0044,0.9309,0,0,0,0.09745177568160135,-1.0996027680671299,0.0,0.931834974660213
5085.0,0.0422,0.0085,0.9401,0,0,0,0.10043508306478721,-1.1296588565881192,0.0,0.9410850652305561
5097.0,0.0459,0.0055,0.9265,0,0,0,0.1035445574480009,-1.15958050791835,0.0,0.927652580441622
5109.0,0.0437,0.0059,0.9139,0,0,0,0.10681577997405198,-1.1891243706185015,0.0,0.9149632287693314
5121.0,0.0414,0.0039,0.928,0,0,0,0.1099684158188252,-1.2179124296510497,0.0,0.928931197667513
5133.0,0.0414,0.0048,0.9352,0,0,0,0.11311713532310434,-1.2459357023987296,0.0,0.9361282177137916
5145.0,0.0468,0.0051,0.9384,0,0,0,0.11629098237047407,-1.2738754503055563,0.0,0.9395801243108541
5157.0,0.0465,0.0031,0.9261,0,0,0,0.11924124566639614,-1.3017182489303498,0.0,0.9272718425575103
5169.0,0.0419,0.001,0.9158,0,0,0,0.12173492676089301,-1.3289125001949778,0.0,0.9167585560004335
5181.0,0.0424,0.0009,0.9222,0,0,0,0.12380449321316686,-1.355505166129572,0.0,0.923174636783312
5193.0,0.0426,0.0063,0.936,0,0,0,0.12615555768499093,-1.381459743996194,0.0,0.9369901013351208
5205.0,0.0431,0.0057,0.9351,0,0,0,0.12867617111877924,-1.4068665010745258,0.0,0.9361100950208795
5217.0,0.0463,0.0066,0.9275,0,0,0,0.13145615202896307,-1.4321767628682263,0.0,0.9286783619746936
5229.0,0.0414,-0.0013,0.9125,0,0,0,0.1334929222371281,-1.4568338130316354,0.0,0.9134395984409697
5241.0,0.0415,0.0028,0.9241,0,0,0,0.1353695499577697,-1.480810854695635,0.0,0.9250356209357562
5253.0,0.0447,0.0057,0.9387,0,0,0,0.13745187897674482,-1.5044512804083425,0.0,0.9397809691624959
5265.0,0.043,0.0034,0.9336,0,0,0,0.13943011619390097,-1.5275671036523917,0.0,0.9345959126809832
5277.0,0.0459,0.0043,0.928,0,0,0,0.14142637372746475,-1.5505632799825002,0.0,0.9291443913622899
5289.0,0.0439,0.0049,0.9181,0,0,0,0.143513799946644,-1.5732187502145702,0.0,0.9191620259780101
5301.0,0.048,0.0013,0.9131,0,0,0,0.1452352610069427,-1.5960639453515832,0.0,0.914361689923632
5313.0,0.0453,0.0044,0.9324,0,0,0,0.14700375472687746,-1.6185851007713026,0.0,0.9335101552741674
5325.0,0.0406,0.0045,0.9406,0,0,0,0.1488183591782903,-1.6401479911245058,0.0,0.9414865745192545
5337.0,0.0436,0.0045,0.9327,0,0,0,0.1506738209860862,-1.6612387778723965,0.0,0.933729350507951
5349.0,0.0432,0.0049,0.9252,0,0,0,0.15261483538905263,-1.6818652027009708,0.0,0.9262209725546059
5361.0,0.047,0.0028,0.9097,0,0,0,0.15437634940357894,-1.7025997752220916,0.0,0.9109176307438559
