tempo_ms,ax,ay,az,gx,gy,gz,pitch,roll,yaw,magnitude
37735.0,0.0015,0.0023,0.9203,0,0,0,0.00026567803193941854,-0.00017326828546444627,0.0,0.9203040964811577
37746.0,0.0021,0.0044,0.9275,0,-0.5143926666666667,0,0.0010126215095352634,-0.006116082173643569,0.0,0.9275128139276567
37757.0,0.0024,-0.0001,0.9287,0,0,0,0.0016616358161559886,-0.006637533725849525,0.0,0.9287031064877516
37768.0,0.0015,0.0038,0.9282,0,0,0,0.0026806783838721326,-0.00726359668895672,0.0,0.9282089904757441
37779.0,0.0035,0.0017,0.9167,0,0,0,0.0037808379662992303,-0.008219282584124556,0.0,0.9167082578443373
37790.0,0.0027,0.0015,0.9207,0,-0.5067926666666667,0,0.004927098561197873,-0.01483485868745403,0.0,0.9207051808260882
37801.0,0.0018,0.0046,0.9294,0,0,0,0.0064809431480216655,-0.015942223712937235,0.0,0.9294131266557408
37812.0,0.0044,0.0021,0.9333,0,0,0,0.008093933511422343,-0.017417005288252695,0.0,0.9333127342964951
37823.0,0.0011,0.0018,0.9252,0,0,0,0.009721843038297968,-0.0188204993056664,0.0,0.9252024048823047
37834.0,0.0026,-0.0001,0.9196,0,0,0,0.011132099227290904,-0.020339794445466783,0.0,0.9196036809408714
37845.0,0.0034,0.0031,0.9192,0,-0.5372926666666666,0,0.012733289668509675,-0.027847905502894402,0.0,0.9192115153760858
38031.0,0.0026,-0.0004,0.9257,0,-0.5067926666666667,0,0.01407546354810912,-0.12189925061363216,0.0,0.9257037377044558
38042.0,0.0004,0.0037,0.9299,0,0,0,0.015682595583910646,-0.12152029794421078,0.0,0.9299074470074965
38053.0,0.0038,0.0032,0.9261,0,0,0,0.017461107116526056,-0.12140866505075958,0.0,0.9261133245991011
38064.0,0.0023,0.002,0.9192,0,0,0,0.019243271833017585,-0.12135290083171878,0.0,0.9192050532933335
38075.0,0.0034,0.0006,0.9276,0,0,0,0.02085242939229985,-0.1214788557726465,0.0,0.9276064251610162
38086.0,0.0002,0.0028,0.9271,0,0,0,0.022574443749296534,-0.12137429436972257,0.0,0.9271042498014989
38097.0,-0.0005,0.0039,0.9266,0,0,0,0.024527580774232373,-0.12098060133355165,0.0,0.9266083422892327
38108.0,0.0006,0.0001,0.9225,0,0,0,0.026216688620370444,-0.12046767064789296,0.0,0.9225002005419836
38119.0,0.0031,0.0031,0.9188,0,0,0,0.028038023238462932,-0.12015787761006509,0.0,0.9188104592352004
38130.0,0.0001,0.0009,0.9196,0,0,0,0.029702153915238807,-0.11965943118580599,0.0,0.9196004458459119
38141.0,0.0018,0.0006,0.928,0,-0.5143926666666667,0,0.031185187893147094,-0.12474777789323752,0.0,0.9280019396531454
38152.0,0.0007,0.0021,0.9308,0,0,0,0.032689342744542826,-0.12408183517050592,0.0,0.9308026321406703
38163.0,0.001,0.0021,0.9236,0,0,0,0.03421080727875501,-0.1233708350044682,0.0,0.9236029287523941
38174.0,0.0021,0.0031,0.9224,0,0,0,0.03586807399582394,-0.12275719732374038,0.0,0.922407599708502
38185.0,0.0015,0.0022,0.9198,0,-0.5449926666666665,0,0.03753173636845838,-0.12803233524527938,0.0,0.9198038540906425
38196.0,0.0028,0.0023,0.9235,0,0,0,0.03920916556729316,-0.12748800469413907,0.0,0.9235071087977612
38207.0,0.0027,0.0027,0.927,0,-0.5067926666666667,0,0.040943876997280096,-0.13254973689459135,0.0,0.9270078640443133
38218.0,-0.001,-0.0005,0.9238,0,0,0,0.04233134101907819,-0.1317096036356,0.0,0.9238006765531187
38229.0,0.0017,0.0031,0.9186,0,0,0,0.04385564745178989,-0.1309169776518083,0.0,0.9186068038067212
38240.0,0.0038,0.0016,0.9202,0,-0.5449926666666665,0,0.0453118652567212,-0.1363023994052352,0.0,0.9202092370760033
38251.0,0.0035,0.0048,0.9222,0,0,0,0.047100645851142806,-0.13592625549271023,0.0,0.922219133395095
38603.0,0.0021,0.0061,0.9326,0,0,0,0.04933683338788264,-0.13558082921432457,0.0,0.9326223136940269
